,Gold_Price,Real_Interest_Rate
2005-04-03,,1.86
2005-04-10,,1.818
2005-04-17,,1.736
2005-04-24,,1.6300000000000001
2005-05-01,,1.626
2005-05-08,,1.638
2005-05-15,,1.6599999999999997
2005-05-22,,1.6619999999999997
2005-05-29,,1.658
2005-06-05,,1.5825
2005-06-12,,1.6420000000000001
2005-06-19,,1.762
2005-06-26,,1.6939999999999997
2005-07-03,,1.6800000000000002
2005-07-10,,1.795
2005-07-17,,1.8800000000000001
2005-07-24,,1.9280000000000002
2005-07-31,,1.9120000000000001
2005-08-07,,1.9619999999999997
2005-08-14,,1.986
2005-08-21,,1.8820000000000001
2005-08-28,,1.83
2005-09-04,,1.67
2005-09-11,,1.665
2005-09-18,,1.6960000000000002
2005-09-25,,1.706
2005-10-02,,1.762
2005-10-09,,1.8760000000000001
2005-10-16,,1.955
2005-10-23,,1.918
2005-10-30,,2.0119999999999996
2005-11-06,,2.022
2005-11-13,,2.0475
2005-11-20,,2.092
2005-11-27,,2.06
2005-12-04,,2.116
2005-12-11,,2.1580000000000004
2005-12-18,,2.132
2005-12-25,,2.1100000000000003
2006-01-01,,2.07
2006-01-08,,2.0324999999999998
2006-01-15,,2.032
2006-01-22,,1.9575
2006-01-29,,1.9939999999999998
2006-02-05,,2.018
2006-02-12,,2.0460000000000003
2006-02-19,,2.096
2006-02-26,,2.025
2006-03-05,,2.04
2006-03-12,,2.186
2006-03-19,,2.1740000000000004
2006-03-26,,2.21
2006-04-02,,2.31
2006-04-09,,2.378
2006-04-16,,2.4175
2006-04-23,,2.4
2006-04-30,,2.442
2006-05-07,,2.4520000000000004
2006-05-14,,2.442
2006-05-21,,2.444
2006-05-28,,2.4379999999999997
2006-06-04,,2.44
2006-06-11,,2.448
2006-06-18,,2.4899999999999998
2006-06-25,,2.6
2006-07-02,,2.626
2006-07-09,,2.5825
2006-07-16,,2.528
2006-07-23,,2.494
2006-07-30,,2.458
2006-08-06,,2.364
2006-08-13,,2.2939999999999996
2006-08-20,,2.3
2006-08-27,,2.244
2006-09-03,,2.268
2006-09-10,,2.33
2006-09-17,,2.364
2006-09-24,,2.342
2006-10-01,,2.258
2006-10-08,,2.302
2006-10-15,,2.4450000000000003
2006-10-22,,2.47
2006-10-29,,2.4539999999999997
2006-11-05,,2.348
2006-11-12,,2.3
2006-11-19,,2.316
2006-11-26,,2.3025
2006-12-03,,2.186
2006-12-10,,2.1439999999999997
2006-12-17,,2.212
2006-12-24,,2.316
2006-12-31,,2.3875
2007-01-07,,2.37
2007-01-14,,2.4219999999999997
2007-01-21,,2.48
2007-01-28,,2.46
2007-02-04,,2.44
2007-02-11,,2.406
2007-02-18,,2.408
2007-02-25,,2.335
2007-03-04,,2.1879999999999997
2007-03-11,,2.1879999999999997
2007-03-18,,2.176
2007-03-25,,2.17
2007-04-01,,2.176
2007-04-08,,2.2359999999999998
2007-04-15,,2.282
2007-04-22,,2.278
2007-04-29,,2.238
2007-05-06,,2.22
2007-05-13,,2.2800000000000002
2007-05-20,,2.388
2007-05-27,,2.476
2007-06-03,,2.5425
2007-06-10,,2.624
2007-06-17,,2.7600000000000002
2007-06-24,,2.714
2007-07-01,,2.69
2007-07-08,,2.71
2007-07-15,,2.714
2007-07-22,,2.662
2007-07-29,,2.544
2007-08-05,,2.4539999999999997
2007-08-12,,2.5300000000000002
2007-08-19,,2.462
2007-08-26,,2.4059999999999997
2007-09-02,,2.35
2007-09-09,,2.29
2007-09-16,,2.184
2007-09-23,,2.252
2007-09-30,,2.31
2007-10-07,,2.2640000000000002
2007-10-14,,2.3375
2007-10-21,,2.232
2007-10-28,,2.0759999999999996
2007-11-04,,2.032
2007-11-11,,1.8960000000000001
2007-11-18,,1.8375
2007-11-25,,1.6575
2007-12-02,,1.596
2007-12-09,,1.69
2007-12-16,,1.834
2007-12-23,,1.794
2007-12-30,,1.865
2008-01-06,,1.615
2008-01-13,,1.588
2008-01-20,,1.466
2008-01-27,,1.3425
2008-02-03,,1.358
2008-02-10,,1.3820000000000001
2008-02-17,,1.4300000000000002
2008-02-24,,1.495
2008-03-02,,1.35
2008-03-09,,1.0939999999999999
2008-03-16,,0.992
2008-03-23,,1.0475
2008-03-30,,1.218
2008-04-06,,1.21
2008-04-13,,1.226
2008-04-20,,1.3619999999999999
2008-04-27,,1.494
2008-05-04,,1.534
2008-05-11,,1.482
2008-05-18,,1.444
2008-05-25,,1.348
2008-06-01,,1.56
2008-06-08,,1.542
2008-06-15,,1.6560000000000001
2008-06-22,,1.732
2008-06-29,,1.614
2008-07-06,,1.455
2008-07-13,,1.43
2008-07-20,,1.512
2008-07-27,,1.73
2008-08-03,,1.69
2008-08-10,,1.714
2008-08-17,,1.72
2008-08-24,,1.65
2008-08-31,,1.6300000000000001
2008-09-07,,1.7025
2008-09-14,,1.706
2008-09-21,,1.83
2008-09-28,,2.016
2008-10-05,,2.178
2008-10-12,,2.596
2008-10-19,,2.99
2008-10-26,,2.734
2008-11-02,,3.066
2008-11-09,,2.88
2008-11-16,,2.8625
2008-11-23,,2.992
2008-11-30,,2.795
2008-12-07,,2.198
2008-12-14,,2.4200000000000004
2008-12-21,,2.066
2008-12-28,,2.0349999999999997
2009-01-04,,2.1175
2009-01-11,,2.064
2009-01-18,,1.7740000000000002
2009-01-25,,1.925
2009-02-01,,1.812
2009-02-08,,1.778
2009-02-15,,1.652
2009-02-22,,1.64
2009-03-01,,1.916
2009-03-08,,2.022
2009-03-15,,1.998
2009-03-22,,1.56
2009-03-29,,1.376
2009-04-05,,1.432
2009-04-12,,1.58
2009-04-19,,1.582
2009-04-26,,1.61
2009-05-03,,1.6199999999999999
2009-05-10,,1.7579999999999998
2009-05-17,,1.6800000000000002
2009-05-24,,1.652
2009-05-31,,1.7725
2009-06-07,,1.7759999999999998
2009-06-14,,1.906
2009-06-21,,1.924
2009-06-28,,1.866
2009-07-05,,1.8275000000000001
2009-07-12,,1.8719999999999999
2009-07-19,,1.8400000000000003
2009-07-26,,1.7600000000000002
2009-08-02,,1.8080000000000003
2009-08-09,,1.8379999999999999
2009-08-16,,1.8240000000000003
2009-08-23,,1.7120000000000002
2009-08-30,,1.7239999999999998
2009-09-06,,1.72
2009-09-13,,1.625
2009-09-20,,1.6420000000000001
2009-09-27,,1.642
2009-10-04,,1.552
2009-10-11,,1.508
2009-10-18,,1.48
2009-10-25,,1.436
2009-11-01,,1.494
2009-11-08,,1.418
2009-11-15,,1.3125
2009-11-22,,1.208
2009-11-29,,1.18
2009-12-06,,1.206
2009-12-13,,1.358
2009-12-20,,1.334
2009-12-27,,1.4449999999999998
2010-01-03,,1.47
2010-01-10,,1.446
2010-01-17,,1.3980000000000001
2010-01-24,,1.315
2010-01-31,,1.328
2010-02-07,,1.288
2010-02-14,,1.418
2010-02-21,,1.47
2010-02-28,,1.51
2010-03-07,,1.46
2010-03-14,,1.48
2010-03-21,,1.446
2010-03-28,,1.568
2010-04-04,,1.6440000000000001
2010-04-11,,1.614
2010-04-18,,1.502
2010-04-25,,1.462
2010-05-02,,1.366
2010-05-09,,1.296
2010-05-16,,1.292
2010-05-23,,1.314
2010-05-30,,1.326
2010-06-06,,1.32
2010-06-13,,1.292
2010-06-20,,1.276
2010-06-27,,1.214
2010-07-04,,1.188
2010-07-11,,1.2675
2010-07-18,,1.246
2010-07-25,,1.242
2010-08-01,,1.214
2010-08-08,,1.0859999999999999
2010-08-15,,0.998
2010-08-22,,1.01
2010-08-29,,1.014
2010-09-05,,1.022
2010-09-12,,1.0175
2010-09-19,,0.968
2010-09-26,,0.808
2010-10-03,,0.744
2010-10-10,,0.5740000000000001
2010-10-17,,0.45999999999999996
2010-10-24,,0.476
2010-10-31,,0.532
2010-11-07,,0.48
2010-11-14,,0.5825
2010-11-21,,0.836
2010-11-28,,0.735
2010-12-05,,0.8
2010-12-12,,1.006
2010-12-19,,1.16
2010-12-26,,1.06
2011-01-02,,1.074
2011-01-09,,1.03
2011-01-16,,0.976
2011-01-23,,1.1
2011-01-30,,1.1400000000000001
2011-02-06,,1.176
2011-02-13,,1.3599999999999999
2011-02-20,,1.32
2011-02-27,,1.0725
2011-03-06,,1.026
2011-03-13,,0.9720000000000001
2011-03-20,,0.876
2011-03-27,,0.96
2011-04-03,,0.994
2011-04-10,,0.9560000000000001
2011-04-17,,0.89
2011-04-24,,0.8025
2011-05-01,,0.778
2011-05-08,,0.718
2011-05-15,,0.754
2011-05-22,,0.842
2011-05-29,,0.796
2011-06-05,,0.7675000000000001
2011-06-12,,0.774
2011-06-19,,0.77
2011-06-26,,0.748
2011-07-03,,0.732
2011-07-10,,0.7375
2011-07-17,,0.622
2011-07-24,,0.6060000000000001
2011-07-31,,0.522
2011-08-07,,0.308
2011-08-14,,0.022
2011-08-21,,0.046
2011-08-28,,0.138
2011-09-04,,0.122
2011-09-11,,0.0275
2011-09-18,,0.09
2011-09-25,,0.052000000000000005
2011-10-02,,0.148
2011-10-09,,0.10600000000000001
2011-10-16,,0.26
2011-10-23,,0.22800000000000004
2011-10-30,,0.186
2011-11-06,,-0.018
2011-11-13,,-0.052500000000000005
2011-11-20,,0.038
2011-11-27,,0.04
2011-12-04,,0.024
2011-12-11,,0.01
2011-12-18,,-0.032
2011-12-25,,-0.08
2012-01-01,,-0.052500000000000005
2012-01-08,,-0.0825
2012-01-15,,-0.11000000000000001
2012-01-22,,-0.0775
2012-01-29,,-0.09
2012-02-05,,-0.262
2012-02-12,,-0.21800000000000003
2012-02-19,,-0.244
2012-02-26,,-0.27
2012-03-04,,-0.276
2012-03-11,,-0.21600000000000003
2012-03-18,,-0.136
2012-03-25,,-0.06799999999999999
2012-04-01,,-0.10800000000000001
2012-04-08,,-0.098
2012-04-15,,-0.22599999999999998
2012-04-22,,-0.246
2012-04-29,,-0.26799999999999996
2012-05-06,,-0.28600000000000003
2012-05-13,,-0.27
2012-05-20,,-0.352
2012-05-27,,-0.39
2012-06-03,,-0.4775
2012-06-10,,-0.522
2012-06-17,,-0.506
2012-06-24,,-0.49400000000000005
2012-07-01,,-0.462
2012-07-08,,-0.505
2012-07-15,,-0.58
2012-07-22,,-0.618
2012-07-29,,-0.66
2012-08-05,,-0.67
2012-08-12,,-0.624
2012-08-19,,-0.48200000000000004
2012-08-26,,-0.53
2012-09-02,,-0.654
2012-09-09,,-0.67
2012-09-16,,-0.6900000000000001
2012-09-23,,-0.726
2012-09-30,,-0.758
2012-10-07,,-0.8240000000000001
2012-10-14,,-0.79
2012-10-21,,-0.702
2012-10-28,,-0.6839999999999999
2012-11-04,,-0.7525
2012-11-11,,-0.79
2012-11-18,,-0.8150000000000001
2012-11-25,,-0.7375
2012-12-02,,-0.758
2012-12-09,,-0.844
2012-12-16,,-0.7939999999999999
2012-12-23,,-0.6859999999999999
2012-12-30,,-0.715
2013-01-06,,-0.595
2013-01-13,,-0.618
2013-01-20,,-0.654
2013-01-27,,-0.63
2013-02-03,,-0.548
2013-02-10,,-0.5740000000000001
2013-02-17,,-0.556
2013-02-24,,-0.5375
2013-03-03,,-0.632
2013-03-10,,-0.5940000000000001
2013-03-17,,-0.524
2013-03-24,,-0.59
2013-03-31,,-0.6225
2013-04-07,,-0.674
2013-04-14,,-0.658
2013-04-21,,-0.624
2013-04-28,,-0.652
2013-05-05,,-0.62
2013-05-12,,-0.488
2013-05-19,,-0.37
2013-05-26,,-0.278
2013-06-02,,-0.085
2013-06-09,,-0.04
2013-06-16,,0.13799999999999998
2013-06-23,,0.32599999999999996
2013-06-30,,0.5820000000000001
2013-07-07,,0.515
2013-07-14,,0.584
2013-07-21,,0.386
2013-07-28,,0.384
2013-08-04,,0.438
2013-08-11,,0.366
2013-08-18,,0.526
2013-08-25,,0.726
2013-09-01,,0.634
2013-09-08,,0.845
2013-09-15,,0.8220000000000001
2013-09-22,,0.604
2013-09-29,,0.46399999999999997
2013-10-06,,0.446
2013-10-13,,0.48
2013-10-20,,0.47750000000000004
2013-10-27,,0.374
2013-11-03,,0.394
2013-11-10,,0.516
2013-11-17,,0.56
2013-11-24,,0.562
2013-12-01,,0.5700000000000001
2013-12-08,,0.712
2013-12-15,,0.722
2013-12-22,,0.724
2013-12-29,,0.79
2014-01-05,,0.7625
2014-01-12,,0.6779999999999999
2014-01-19,,0.6
2014-01-26,,0.62
2014-02-02,,0.5820000000000001
2014-02-09,,0.528
2014-02-16,,0.562
2014-02-23,,0.6025
2014-03-02,,0.526
2014-03-09,,0.516
2014-03-16,,0.53
2014-03-23,,0.5820000000000001
2014-03-30,,0.586
2014-04-06,,0.636
2014-04-13,,0.55
2014-04-20,,0.505
2014-04-27,,0.502
2014-05-04,,0.476
2014-05-11,,0.43600000000000005
2014-05-18,,0.39
2014-05-25,,0.35
2014-06-01,,0.2525
2014-06-08,,0.396
2014-06-15,,0.414
2014-06-22,,0.392
2014-06-29,,0.296
2014-07-06,,0.335
2014-07-13,,0.294
2014-07-20,,0.28200000000000003
2014-07-27,,0.24
2014-08-03,,0.25
2014-08-10,,0.22599999999999998
2014-08-17,,0.192
2014-08-24,,0.24
2014-08-31,,0.23199999999999998
2014-09-07,,0.275
2014-09-14,,0.418
2014-09-21,,0.536
2014-09-28,,0.542
2014-10-05,,0.514
2014-10-12,,0.41
2014-10-19,,0.29
2014-10-26,,0.346
2014-11-02,,0.40800000000000003
2014-11-09,,0.42400000000000004
2014-11-16,,0.45
2014-11-23,,0.48600000000000004
2014-11-30,,0.4175
2014-12-07,,0.496
2014-12-14,,0.492
2014-12-21,,0.49399999999999994
2014-12-28,,0.55
2015-01-04,,0.5075
2015-01-11,,0.394
2015-01-18,,0.286
2015-01-25,,0.2475
2015-02-01,,0.13799999999999998
2015-02-08,,0.118
2015-02-15,,0.31
2015-02-22,,0.385
2015-03-01,,0.252
2015-03-08,,0.288
2015-03-15,,0.414
2015-03-22,,0.292
2015-03-29,,0.16
2015-04-05,,0.122
2015-04-12,,0.092
2015-04-19,,0.068
2015-04-26,,0.06
2015-05-03,,0.11400000000000002
2015-05-10,,0.28200000000000003
2015-05-17,,0.376
2015-05-24,,0.372
2015-05-31,,0.3275
2015-06-07,,0.48600000000000004
2015-06-14,,0.5680000000000001
2015-06-21,,0.446
2015-06-28,,0.502
2015-07-05,,0.4925
2015-07-12,,0.44800000000000006
2015-07-19,,0.538
2015-07-26,,0.524
2015-08-02,,0.5
2015-08-09,,0.528
2015-08-16,,0.542
2015-08-23,,0.5599999999999999
2015-08-30,,0.588
2015-09-06,,0.616
2015-09-13,,0.6425000000000001
2015-09-20,,0.6559999999999999
2015-09-27,,0.656
2015-10-04,,0.624
2015-10-11,,0.548
2015-10-18,,0.535
2015-10-25,1169.2599999999998,0.586
2015-11-01,1159.3600000000001,0.618
2015-11-08,1109.6200000000001,0.688
2015-11-15,1084.6799999999998,0.7675000000000001
2015-11-22,1075.06,0.7060000000000001
2015-11-29,1067.26,0.625
2015-12-06,1065.58,0.6439999999999999
2015-12-13,1074.94,0.688
2015-12-20,1063.28,0.784
2015-12-27,1074.725,0.755
2016-01-03,1064.075,0.7575000000000001
2016-01-10,1090.2400000000002,0.6679999999999999
2016-01-17,1086.56,0.6799999999999999
2016-01-24,1096.05,0.7075
2016-01-31,1115.0,0.614
2016-02-07,1142.34,0.524
2016-02-14,1215.66,0.49800000000000005
2016-02-21,1217.03,0.5175000000000001
2016-02-28,1226.2,0.388
2016-03-06,1247.1799999999998,0.33399999999999996
2016-03-13,1263.3,0.41600000000000004
2016-03-20,1245.04,0.378
2016-03-27,1235.9,0.3075
2016-04-03,1229.44,0.20800000000000002
2016-04-10,1230.8,0.14200000000000002
2016-04-17,1245.66,0.20800000000000002
2016-04-24,1243.2166666666667,0.22400000000000003
2016-05-01,1264.1166666666668,0.192
2016-05-08,1285.7166666666667,0.168
2016-05-15,1271.45,0.15
2016-05-22,1264.7166666666667,0.22799999999999998
2016-05-29,1230.6200000000001,0.284
2016-06-05,1221.925,0.2675
2016-06-12,1261.06,0.13999999999999999
2016-06-19,1291.3,0.16
2016-06-26,1284.02,0.23199999999999998
2016-07-03,1325.8200000000002,0.086
2016-07-10,1359.96,-0.042499999999999996
2016-07-17,1339.02,0.06
2016-07-24,1330.26,0.092
2016-07-31,1337.74,0.030000000000000006
2016-08-07,1361.74,0.076
2016-08-14,1346.6200000000001,0.074
2016-08-21,1351.3200000000002,0.096
2016-08-28,1333.94,0.094
2016-09-04,1319.76,0.11600000000000002
2016-09-11,1342.0,0.0875
2016-09-18,1320.72,0.20600000000000002
2016-09-25,1330.76,0.136
2016-10-02,1328.26,0.024
2016-10-09,1271.1799999999998,0.076
2016-10-16,1256.6399999999999,0.1325
2016-10-23,1264.92,0.082
2016-10-30,1270.04,0.10400000000000001
2016-11-06,1295.42,0.11600000000000002
2016-11-13,1263.6200000000001,0.1975
2016-11-20,1219.14,0.41200000000000003
2016-11-27,1196.1799999999998,0.435
2016-12-04,1181.1399999999999,0.462
2016-12-11,1171.6799999999998,0.454
2016-12-18,1151.1399999999999,0.616
2016-12-25,1134.76,0.634
2017-01-01,1147.375,0.5475
2017-01-08,1170.5,0.45499999999999996
2017-01-15,1192.6,0.40800000000000003
2017-01-22,1206.8,0.4125
2017-01-29,1203.24,0.418
2017-02-05,1211.1799999999998,0.42400000000000004
2017-02-12,1236.08,0.398
2017-02-19,1233.0,0.43600000000000005
2017-02-26,1244.08,0.36
2017-03-05,1244.42,0.41
2017-03-12,1211.1200000000001,0.54
2017-03-19,1212.74,0.5439999999999999
2017-03-26,1247.6399999999999,0.446
2017-04-02,1254.72,0.43200000000000005
2017-04-09,1254.3,0.398
2017-04-16,1273.675,0.3875
2017-04-23,1288.46,0.372
2017-04-30,1268.6200000000001,0.40599999999999997
2017-05-07,1243.3,0.45599999999999996
2017-05-14,1222.8,0.53
2017-05-21,1246.3,0.462
2017-05-28,1261.6,0.446
2017-06-04,1272.26,0.39
2017-06-11,1284.8600000000001,0.4
2017-06-18,1264.9,0.46799999999999997
2017-06-25,1248.3600000000001,0.48600000000000004
2017-07-02,1246.1,0.51
2017-07-09,1219.3799999999999,0.6125
2017-07-16,1218.3600000000001,0.6
2017-07-23,1247.5,0.508
2017-07-30,1263.3200000000002,0.49000000000000005
2017-08-06,1274.0400000000002,0.472
2017-08-13,1278.1399999999999,0.42800000000000005
2017-08-20,1287.4,0.44800000000000006
2017-08-27,1294.46,0.43200000000000005
2017-09-03,1320.1799999999998,0.384
2017-09-10,1344.8799999999999,0.2825
2017-09-17,1330.1799999999998,0.33799999999999997
2017-09-24,1306.02,0.404
2017-10-01,1294.9,0.43
2017-10-08,1275.06,0.49399999999999994
2017-10-15,1293.76,0.45
2017-10-22,1288.54,0.49000000000000005
2017-10-29,1275.92,0.548
2017-11-05,1274.56,0.49000000000000005
2017-11-12,1280.56,0.466
2017-11-19,1280.31,0.506
2017-11-26,1287.1200000000001,0.505
2017-12-03,1288.5700000000002,0.518
2017-12-10,1265.24,0.49399999999999994
2017-12-17,1249.85,0.49000000000000005
2017-12-24,1264.3200000000002,0.542
2017-12-31,1291.1666666666667,0.48
2018-01-07,1314.75,0.4575
2018-01-14,1321.6299999999999,0.518
2018-01-21,1336.17,0.5475
2018-01-28,1347.27,0.576
2018-02-04,1344.71,0.6439999999999999
2018-02-11,1327.47,0.728
2018-02-18,1338.83,0.792
2018-02-25,1333.16,0.7925
2018-03-04,1324.02,0.74
2018-03-11,1325.7,0.76
2018-03-18,1320.8600000000001,0.754
2018-03-25,1322.4,0.776
2018-04-01,1341.0,0.7224999999999999
2018-04-08,1333.1,0.71
2018-04-15,1339.26,0.7
2018-04-22,1344.39,0.728
2018-04-29,1324.1299999999999,0.82
2018-05-06,1311.77,0.792
2018-05-13,1314.125,0.806
2018-05-20,1299.71,0.906
2018-05-27,1294.81,0.876
2018-06-03,1300.825,0.7675000000000001
2018-06-10,1295.9299999999998,0.8119999999999999
2018-06-17,1298.83,0.8300000000000001
2018-06-24,1273.3799999999999,0.79
2018-07-01,1256.96,0.746
2018-07-08,1251.69,0.7124999999999999
2018-07-15,1250.33,0.736
2018-07-22,1230.85,0.768
2018-07-29,1226.3600000000001,0.842
2018-08-05,1217.8600000000001,0.85
2018-08-12,1213.3799999999999,0.826
2018-08-19,1188.55,0.788
2018-08-26,1191.3899999999999,0.744
2018-09-02,1206.5625,0.764
2018-09-09,1199.44,0.8125
2018-09-16,1200.09,0.8619999999999999
2018-09-23,1201.96,0.916
2018-09-30,1195.3,0.9199999999999999
2018-10-07,1196.4,0.994
2018-10-14,1197.69,1.0375
2018-10-21,1228.29,1.056
2018-10-28,1231.67,1.062
2018-11-04,1225.44,1.094
2018-11-11,1228.8,1.152
2018-11-18,1206.49,1.1025
2018-11-25,1224.21,1.085
2018-12-02,1222.3600000000001,1.094
2018-12-09,1236.8200000000002,0.98
2018-12-16,1244.6799999999998,1.056
2018-12-23,1249.82,1.016
2018-12-30,1269.8666666666666,1.0125
2019-01-06,1286.7875,0.9325
2019-01-13,1288.3799999999999,0.9099999999999999
2019-01-20,1290.52,0.9279999999999999
2019-01-27,1282.21,0.9575
2019-02-03,1313.1100000000001,0.874
2019-02-10,1311.2099999999998,0.8320000000000001
2019-02-17,1310.6299999999999,0.828
2019-02-24,1331.31,0.765
2019-03-03,1323.71,0.762
2019-03-10,1287.7,0.762
2019-03-17,1300.71,0.694
2019-03-24,1309.02,0.6
2019-03-31,1310.1799999999998,0.548
2019-04-07,1290.29,0.598
2019-04-14,1300.91,0.586
2019-04-21,1280.775,0.63
2019-04-28,1276.65,0.5860000000000001
2019-05-05,1278.1200000000001,0.604
2019-05-12,1284.6375,0.598
2019-05-19,1292.16,0.558
2019-05-26,1276.54,0.588
2019-06-02,1284.9625,0.47750000000000004
2019-06-09,1329.25,0.366
2019-06-16,1335.23,0.43
2019-06-23,1358.03,0.374
2019-06-30,1411.44,0.32599999999999996
2019-07-07,1407.58,0.3325
2019-07-14,1403.3899999999999,0.35
2019-07-21,1418.22,0.292
2019-07-28,1422.4299999999998,0.274
2019-08-04,1424.08,0.246
2019-08-11,1481.5700000000002,0.1
2019-08-18,1511.24,0.02
2019-08-25,1499.17,0.032
2019-09-01,1534.2,-0.05600000000000001
2019-09-08,1528.4299999999998,-0.0125
2019-09-15,1501.49,0.144
2019-09-22,1501.21,0.16799999999999998
2019-09-29,1514.76,0.118
2019-10-06,1490.25,0.092
2019-10-13,1502.42,0.11200000000000002
2019-10-20,1488.9875,0.18
2019-10-27,1493.21,0.164
2019-11-03,1500.84,0.188
2019-11-10,1490.6599999999999,0.188
2019-11-17,1463.44,0.2125
2019-11-24,1467.8400000000001,0.152
2019-12-01,1458.16,0.14250000000000002
2019-12-08,1470.6399999999999,0.132
2019-12-15,1468.28,0.136
2019-12-22,1477.2,0.152
2019-12-29,1495.1333333333332,0.16
2020-01-05,1525.6125,0.1025
2020-01-12,1564.57,0.09
2020-01-19,1551.78,0.066
2020-01-26,1557.9,0.0375
2020-02-02,1579.1,-0.054000000000000006
2020-02-09,1566.75,-0.042
2020-02-16,1571.97,-0.066
2020-02-23,1604.41,-0.1125
2020-03-01,1651.83,-0.22599999999999998
2020-03-08,1637.6,-0.446
2020-03-15,1644.2599999999998,-0.166
2020-03-22,1493.6299999999999,0.346
2020-03-29,1591.25,-0.164
2020-04-05,1604.23,-0.314
2020-04-12,1650.0875,-0.4525
2020-04-19,1709.775,-0.47400000000000003
2020-04-26,1704.2,-0.41400000000000003
2020-05-03,1704.23,-0.476
2020-05-10,1696.8875,-0.426
2020-05-17,1710.67,-0.422
2020-05-24,1741.4900000000002,-0.458
2020-05-31,1719.2125,-0.47
2020-06-07,1721.73,-0.44400000000000006
2020-06-14,1716.98,-0.47800000000000004
2020-06-21,1723.45,-0.546
2020-06-28,1759.6799999999998,-0.652
2020-07-05,1774.6799999999998,-0.6975
2020-07-12,1793.4900000000002,-0.764
2020-07-19,1810.3200000000002,-0.788
2020-07-26,1862.78,-0.882
2020-08-02,1951.4240000000002,-0.9480000000000001
2020-08-09,2019.3400000000001,-1.05
2020-08-16,1962.78,-0.978
2020-08-23,1966.9599999999998,-0.9879999999999999
2020-08-30,1936.6,-1.016
2020-09-06,1946.92,-1.046
2020-09-13,1941.1599999999999,-0.995
2020-09-20,1953.8400000000001,-0.978
2020-09-27,1878.06,-0.9259999999999999
2020-10-04,1898.8080000000002,-0.95
2020-10-11,1908.2,-0.916
2020-10-18,1909.22,-0.955
2020-10-25,1913.28,-0.908
2020-11-01,1888.94,-0.884
2020-11-08,1919.52,-0.842
2020-11-15,1870.3799999999999,-0.8025
2020-11-22,1876.14,-0.8320000000000001
2020-11-29,1809.2649999999999,-0.8725
2020-12-06,1822.012,-0.916
